state_code,lga_name,administrative_type,external_id
KO,Olamaboro,lga,INEC-CVR:1508
KO,Omala,lga,INEC-CVR:1509
KO,"Yagba East",lga,INEC-CVR:1510
KO,"Yagba West",lga,INEC-CVR:1511
KW,Asa,lga,INEC-CVR:1513
KW,Baruten,lga,INEC-CVR:1514
KW,Edu,lga,INEC-CVR:1515
KW,Ekiti,lga,INEC-CVR:1516
KW,Ifelodun,lga,INEC-CVR:1517
KW,"Ilorin East",lga,INEC-CVR:1518
KW,Ilorin-South,lga,INEC-CVR:1519
KW,Ilorin-West,lga,INEC-CVR:1520
KW,Irepodun,lga,INEC-CVR:1521
KW,Isin,lga,INEC-CVR:1522
KW,Kaiama,lga,INEC-CVR:1523
KW,Moro,lga,INEC-CVR:1524
KW,Offa,lga,INEC-CVR:1525
KW,Oke-Ero,lga,INEC-CVR:1526
KW,Oyun,lga,INEC-CVR:1527
KW,Patigi,lga,INEC-CVR:1528
LA,Agege,lga,INEC-CVR:1530
LA,Ajeromi/Ifelodun,lga,INEC-CVR:1531
LA,Alimosho,lga,INEC-CVR:1532
LA,Amuwo-Odofin,lga,INEC-CVR:1533
LA,Apapa,lga,INEC-CVR:1534
LA,Badagry,lga,INEC-CVR:1535
LA,Epe,lga,INEC-CVR:1536
LA,Eti-Osa,lga,INEC-CVR:1537
LA,Ibeju/Lekki,lga,INEC-CVR:1538
LA,Ifako-Ijaye,lga,INEC-CVR:1539
LA,Ikeja,lga,INEC-CVR:1540
LA,Ikorodu,lga,INEC-CVR:1541
LA,Kosofe,lga,INEC-CVR:1542
LA,"Lagos Island",lga,INEC-CVR:1543
LA,"Lagos Mainland",lga,INEC-CVR:1544
LA,Mushin,lga,INEC-CVR:1545
LA,Ojo,lga,INEC-CVR:1546
LA,Oshodi/Isolo,lga,INEC-CVR:1547
LA,Somolu,lga,INEC-CVR:1548
LA,Surulere,lga,INEC-CVR:1549
NA,Akwanga,lga,INEC-CVR:1551
NA,Awe,lga,INEC-CVR:1552
NA,Doma,lga,INEC-CVR:1553
NA,Karu,lga,INEC-CVR:1554
NA,Keana,lga,INEC-CVR:1555
NA,Keffi,lga,INEC-CVR:1556
NA,Kokona,lga,INEC-CVR:1557
NA,Lafia,lga,INEC-CVR:1558
NA,Nasarawa,lga,INEC-CVR:1559
NA,"Nasarawa Eggon",lga,INEC-CVR:1560
NA,Obi,lga,INEC-CVR:1561
NA,Toto,lga,INEC-CVR:1562
NA,Wamba,lga,INEC-CVR:1563
NI,Agaie,lga,INEC-CVR:1565
NI,Agwara,lga,INEC-CVR:1566
NI,Bida,lga,INEC-CVR:1567
NI,Borgu,lga,INEC-CVR:1568
NI,Bosso,lga,INEC-CVR:1569
NI,Chanchaga,lga,INEC-CVR:1570
NI,Edatti,lga,INEC-CVR:1571
NI,Gbako,lga,INEC-CVR:1572
NI,Gurara,lga,INEC-CVR:1573
NI,Katcha,lga,INEC-CVR:1574
NI,Kontagora,lga,INEC-CVR:1575
NI,Lapai,lga,INEC-CVR:1576
NI,Lavun,lga,INEC-CVR:1577
NI,Magama,lga,INEC-CVR:1578
NI,Mariga,lga,INEC-CVR:1579
NI,Mashegu,lga,INEC-CVR:1580
NI,Mokwa,lga,INEC-CVR:1581
NI,Munya,lga,INEC-CVR:1582
NI,Paikoro,lga,INEC-CVR:1583
NI,Rafi,lga,INEC-CVR:1584
NI,Rijau,lga,INEC-CVR:1585
NI,Shiroro,lga,INEC-CVR:1586
NI,Suleja,lga,INEC-CVR:1587
NI,Tafa,lga,INEC-CVR:1588
NI,Wushishi,lga,INEC-CVR:1589
OG,"Abeokuta North",lga,INEC-CVR:1591
OG,"Abeokuta South",lga,INEC-CVR:1592
OG,"Ado Odo-Ota",lga,INEC-CVR:1593
OG,"Egbado North",lga,INEC-CVR:1594
OG,"Egbado South",lga,INEC-CVR:1595
OG,Ewekoro,lga,INEC-CVR:1596
OG,Ifo,lga,INEC-CVR:1597
OG,"Ijebu East",lga,INEC-CVR:1598
OG,"Ijebu North",lga,INEC-CVR:1599
OG,"Ijebu North East",lga,INEC-CVR:1600
OG,"Ijebu Ode",lga,INEC-CVR:1601
OG,Ikenne,lga,INEC-CVR:1602
OG,Imeko/Afon,lga,INEC-CVR:1603
OG,Ipokia,lga,INEC-CVR:1604
OG,Obafemi/Owode,lga,INEC-CVR:1605
OG,Odeda,lga,INEC-CVR:1606
OG,Odogbolu,lga,INEC-CVR:1607
OG,"Ogun Water Side",lga,INEC-CVR:1608
OG,"Remo North",lga,INEC-CVR:1609
OG,Sagamu,lga,INEC-CVR:1610
ON,"Akoko North East",lga,INEC-CVR:1612
ON,"Akoko North West",lga,INEC-CVR:1613
ON,"Akoko South East",lga,INEC-CVR:1614
ON,"Akoko South West",lga,INEC-CVR:1615
ON,"Akure North",lga,INEC-CVR:1616
ON,"Akure South",lga,INEC-CVR:1617
ON,Ese-Odo,lga,INEC-CVR:1618
ON,Idanre,lga,INEC-CVR:1619
ON,Ifedore,lga,INEC-CVR:1620
ON,Ilaje,lga,INEC-CVR:1621
